COMMON_NAME,N
Least Grebe,36942
Least Sandpiper,778895
Least Storm-Petrel,1549
Least Tern,211652
LeConte's Sparrow,18650
LeConte's Thrasher,6678
Lemon Dove,2
Lesser Black-backed Gull,123707
Lesser Flamingo,219
Lesser Goldfinch,1080672
Lesser Nighthawk,30868
Lesser Sand-Plover,919
Lesser Scaup,693586
Lesser Whistling-Duck,1
Lesser White-fronted Goose,12
Lesser x American Goldfinch (hybrid),1
Lesser Yellowlegs,513005
Lewis's Woodpecker,46359
Lilac-breasted Roller,1
Lilac-crowned Parrot,3513
Lilian's Lovebird,1
Limpkin,94581
Lincoln's Sparrow,505697
Little Blue Heron,575022
Little Blue x Tricolored Heron (hybrid),975
Little Bunting,247
Little Egret,1419
Little Egret x Western Reef-Heron (hybrid),1
Little Gull,8547
Little Pied Cormorant,1
Little Stint,872
Little x Snowy Egret (hybrid),2
Loggerhead Kingbird,67
Loggerhead Shrike,531909
Long-billed Curlew,172380
Long-billed Dowitcher,246426
Long-billed Murrelet,15
Long-billed Thrasher,63936
Long-eared Owl,19486
Long-legged Buzzard,4
Long-tailed Duck,201970
Long-tailed Jaeger,19907
Long-tailed Mockingbird,17
Long-tailed Starling,1
Long-toed Stint,187
Louisiana Waterthrush,173228
Lucifer Hummingbird,5666
Lucifer x Anna's Hummingbird (hybrid),1
Lucifer x Costa's Hummingbird (hybrid),171
Lucy's Warbler,66877
MacGillivray's Warbler,111580
MacGillivray's Warbler x Common Yellowthroat ,2
Madagascar Ibis,1
Magnificent Frigatebird,53860
Magnolia Warbler,408332
Magnolia x Yellow-rumped Warbler (hybrid),1
Magpie Goose,3
Magpie Mannikin,1
Mallard,4962352
Mallard (Domestic type),193568
Mallard x American Black Duck (hybrid),32386
Mallard x Green-winged Teal (hybrid),10
Mallard x Hawaiian Duck (hybrid),5381
Mallard x Mexican Duck (hybrid),6223
Mallard x Mottled Duck (hybrid),21714
Mallard x Northern Pintail (hybrid),440
Mallard x Red-crested Pochard (hybrid),2
Mallard x Redhead (hybrid),14
Mandarin Duck,4064
Mangrove Cuckoo,2370
Manx Shearwater,10368
Marbled Godwit,218761
Marbled Murrelet,34549
Mariana Swiftlet,199
Marsh Sandpiper,685
Marsh Wren,584981
Masked Booby,3623
Masked Duck,333
Maui Alauahio,1021
Maui Parrotbill,123
McCown's Longspur,9035
McKay's Bunting,403
Mealy Parrot,8
Merlin,324904
Mew Gull,173348
Mexican Chickadee,3311
Mexican Duck,18376
Mexican Jay,68671
Mexican Violetear,238
Mexican Whip-poor-will,4822
Mexican x Mottled Duck (hybrid),4
Middendorff's Grasshopper-Warbler,3
Military Macaw,8
Millerbird,10
Mississippi Kite,127856
Mitred Parakeet,6438
Monk Parakeet,59349
Montezuma Quail,9708
Morelet's Seedeater,3022
Mottled Duck,216423
Mottled Petrel,826
Mountain Bluebird,160992
Mountain Chickadee,376567
Mountain Plover,7894
Mountain Quail,26479
Mourning Dove,7311525
Mourning Warbler,56950
Mourning Warbler x Common Yellowthroat (hybri,2
Murphy's Petrel,1244
Muscovy Duck,49547
Muscovy Duck (Domestic type),51279
Muscovy Duck x Mallard (hybrid),1788
Mute Swan,497019
Namaqua Dove,1
Nanday Parakeet,26764
Nashville Warbler,384236
Naumann's Thrush,1
Nazca Booby,1240
Nelson's Sparrow,23482
Nelson's x Saltmarsh Sparrow (hybrid),10
Neotropic Cormorant,197604
Neotropic x Double-crested Cormorant (hybrid),23
New Guinea Scrubfowl,2
Newell's Shearwater,546
Nicobar Pigeon,1
Nihoa Finch,11
Northern Beardless-Tyrannulet,18024
Northern Bobwhite,162695
Northern Bobwhite x Scaled Quail (hybrid),4
Northern Cardinal,6896037
Northern Cardinal x Pyrrhuloxia (hybrid),143
Northern Catbird,2
Northern Flicker,3769589
Northern Fulmar,49982
Northern Gannet,137264
Northern Goshawk,27695
Northern Harrier,1119822
Northern Jacana,1182
Northern Lapwing,1463
Northern Mockingbird,3517599
Northern Parula,738315
Northern Pintail,620483
Northern Pintail x Green-winged Teal (hybrid),8
Northern Pygmy-Owl,24671
Northern Red Bishop,7021
Northern Rough-winged Swallow,916364
Northern Rough-winged x Violet-green Swallow ,1
Northern Saw-whet Owl,31859
Northern Shoveler,1170989
Northern Shoveler x American Wigeon (hybrid),1
Northern Shoveler x Gadwall (hybrid),111
Northern Shoveler x Mallard (hybrid),17
Northern Shrike,72853
Northern Waterthrush,252579
Northern Wheatear,4157
Northern x Gilded Flicker (hybrid),1
Northern x Tropical Parula (hybrid),59
Northwestern Crow,44755
Nuttall's Woodpecker,367174
Nuttall's x Ladder-backed Woodpecker (hybrid),247
Nutting's Flycatcher,532
Oahu Amakihi,1252
Oahu Elepaio,570
Oak Titmouse,324307
Olive-backed Pipit,518
Olive-sided Flycatcher,126661
Olive Sparrow,44065
Olive Warbler,9623
Omao,9353
Opal-rumped Tanager,1
Orange-billed Nightingale-Thrush,47
Orange-cheeked Waxbill,1523
Orange-crowned Warbler,797720
Orange-fronted Parakeet,1
Orange-winged Parrot,1245
Orange Weaver,1
Orchard Oriole,391328
Oriental Cuckoo,92
Oriental Greenfinch,7
Oriental Pied-Hornbill,1
Oriental Turtle-Dove,8
Oriental White-eye,3
Osprey,1680715
Ovenbird,647318
Pacific-slope Flycatcher,200555
Pacific Golden-Plover,40379
Pacific Loon,97719
Pacific Parrotlet,3
Pacific Swift,22
Pacific Wren,202265
Painted Bunting,151977
Painted Redstart,42191
Painted x Slate-throated Redstart (hybrid),3
Palila,1056
Pallas's Bunting,46
Pallas's Rosefinch,17
Palm Warbler,799244
Papuan Boobook,1
Paradise Tanager,2
Parakeet Auklet,6410
Parasitic Jaeger,50552
Peacock Coquette,5
Pechora Pipit,36
Pectoral Sandpiper,219414
Pelagic Cormorant,171534
Peregrine Falcon,398060
Peregrine x Prairie Falcon (hybrid),2
Pesquet's Parrot,1
Peters's Twinspot,2
Phainopepla,176756
Philadelphia Vireo,61843
Pied-billed Grebe,1594554
Pied Crow,22
Pied Wheatear,22
Pigeon Guillemot,105778
Pileated Woodpecker,1342614
Pin-tailed Snipe,40
Pin-tailed Whydah,5940
Pine Bunting,21
Pine Flycatcher,246
Pine Grosbeak,38609
Pine Siskin,760804
Pine Siskin x American Goldfinch (hybrid),1
Pine Warbler,770649
Pink-backed Pelican,1
Pink-footed Goose,4368
Pink-footed Shearwater,58345
Pinyon Jay,31691
Piping Plover,90271
Piratic Flycatcher,61
Plain-capped Starthroat,1229
Plain Chachalaca,49730
Plumbeous Vireo,72750
Plumed Whistling-Duck,58
Pomarine Jaeger,41342
Prairie Falcon,77595
Prairie Warbler,260318
Prothonotary Warbler,167144
Purple Finch,583474
Purple Gallinule,58700
Purple Grenadier,1
Purple Honeycreeper,2
Purple Martin,579954
Purple Sandpiper,34307
Pygmy Nuthatch,214720
Pyrrhuloxia,95566
Radjah Shelduck,4
Rainbow Lorikeet,3
Razorbill,32446
Red-and-green Macaw,5
Red-backed Buttonquail,1
Red-backed Scrub-Robin,1
Red-backed Shrike,18
Red-backed x Red-tailed Shrike (hybrid),2
Red-bellied Woodpecker,4182881
Red-billed Duck,2
Red-billed Firefinch,8
Red-billed Leiothrix,9274
Red-billed Pigeon,1409
Red-billed Tropicbird,1995
Red-breasted Goose,4
Red-breasted Merganser,658440
Red-breasted Nuthatch,1069025
Red-breasted Parakeet,3
Red-breasted Sapsucker,123834
Red-browed Firetail,3
Red-cheeked Cordonbleu,41
Red-cockaded Woodpecker,17170
Red-crested Cardinal,19263
Red-crested Pochard,281
Red-crowned Crane,2
Red-crowned Parrot,26251
Red-crowned x Red-lored Parrot (hybrid),3
Red-eyed Vireo,1272349
Red-faced Cormorant,5891
Red-faced Warbler,13424
Red-flanked Bluetail,252
Red-footed Booby,6524
Red-fronted Parrot,2
Red-headed Lovebird,1
Red-headed Woodpecker,427154
Red-legged Honeycreeper,31
Red-legged Kittiwake,4194
Red-legged Partridge,9
Red-legged Thrush,1
Red-lored Parrot,2770
Red-masked Parakeet,13277
Red-naped Sapsucker,76098
Red-naped x Red-breasted Sapsucker (hybrid),1724
Red-necked Grebe,138105
Red-necked Phalarope,111948
Red-necked Stint,1938
Red-rumped Parrot,1
Red-shouldered Hawk,1350468
Red-shouldered x Red-tailed Hawk (hybrid),290
Red-tailed Hawk,3608049
Red-tailed Tropicbird,2443
Red-tailed x Ferruginous Hawk (hybrid),1
Red-tailed x Rough-legged Hawk (hybrid),6
Red-throated Loon,214905
Red-throated Pipit,2248
Red-vented Bulbul,14290
Red-whiskered Bulbul,13833
Red-winged Blackbird,5337077
Red Avadavat,1455
Red Crossbill,131667
Red Crossbill x Pine Siskin (hybrid),1
Red Junglefowl,6179
Red Junglefowl (Domestic type),11564
Red Knot,65172
Red Lory,1
Red Phalarope,39387
Red Warbler,12
Reddish Egret,106891
Redhead,469070
Redhead x Greater Scaup (hybrid),1
Redhead x Lesser Scaup (hybrid),9
Redhead x Ring-necked Duck (hybrid),73
Redhead x scaup sp. (hybrid),17
Redwing,82
Rhinoceros Auklet,70051
Ridgway's Rail,17749
Ring-billed Gull,2884585
Ring-necked Dove,8
Ring-necked Duck,933580
Ring-necked Duck x Greater Scaup (hybrid),6
Ring-necked Duck x Lesser Scaup (hybrid),66
Ring-necked Duck x scaup sp. (hybrid),81
Ring-necked Pheasant,261201
Ring-necked x Tufted Duck (hybrid),6
Ringed Kingfisher,18222
Ringed Teal,200
Rivoli's Hummingbird,29275
Roadside Hawk,367
Rock Partridge,1
Rock Pigeon,2363980
Rock Ptarmigan,2895
Rock Sandpiper,11377
Rock Wren,159880
Rose-breasted Grosbeak,633238
Rose-breasted x Black-headed Grosbeak (hybrid,105
Rose-ringed Parakeet,5532
Rose-throated Becard,2131
Roseate Spoonbill,194760
Roseate Tern,17904
Ross's Goose,75113
Ross's Gull,1205
Ross's Turaco,1
Ross's x Cackling Goose (hybrid),199
Ross's x Canada Goose (hybrid),21
Rosy-billed Pochard,42
Rosy-faced Lovebird,11838
Rough-legged Hawk,167634
Royal Tern,357151
Ruby-crowned Kinglet,1877225
Ruby-throated Hummingbird,1140561
Ruby-throated x Black-chinned Hummingbird (hy,1
Ruddy Duck,949257
Ruddy Ground-Dove,1185
Ruddy Quail-Dove,3
Ruddy Shelduck,348
Ruddy Turnstone,303163
Ruff,7835
Ruffed Grouse,97328
Rufous-backed Robin,2533
Rufous-capped Warbler,2508
Rufous-collared Sparrow,27
Rufous-crowned Sparrow,86984
Rufous-necked Wood-Rail,190
Rufous-tailed Robin,7
Rufous-winged Sparrow,36131
Rufous Hummingbird,230802
Rufous x Calliope Hummingbird (hybrid),5
Russet-naped Wood-Rail,4
Rustic Bunting,993
Rusty Blackbird,158477
Sabine's Gull,28098
Sacred Ibis,25
Saddle-billed Stork,1
Saffron Finch,11309
Sage Thrasher,53802
Sagebrush Sparrow,17157
Salmon-crested Cockatoo,91
Saltmarsh Sparrow,25736
Salvin's Albatross,18
Sanderling,422572
Sandhill Crane,632490
Sandhill x Common Crane (hybrid),4
Sandwich Tern,97659
Sandwich x Elegant Tern (hybrid),18
Sarus Crane,1
Savannah Sparrow,1098746
Say's Phoebe,524454
Scaled Quail,36708
Scaled x Gambel's Quail (hybrid),17
Scaly-breasted Munia,57301
Scaly-headed Parrot,78
Scarlet-fronted Parakeet,164
Scarlet Ibis,8
Scarlet Macaw,16
Scarlet Tanager,506173
Scissor-tailed Flycatcher,240628
Scott's Oriole,35952
Scripps's Murrelet,6412
Seaside Sparrow,46325
Sedge Warbler,1
Sedge Wren,93442
Semipalmated Plover,430684
Semipalmated Sandpiper,302716
Sharp-shinned Hawk,514541
Sharp-tailed Grouse,13257
Sharp-tailed Grouse x Greater Prairie-Chicken,18
Sharp-tailed Sandpiper,4056
Shiny Cowbird,2009
Short-billed Dowitcher,227105
Short-eared Owl,55559
Short-tailed Albatross,490
Short-tailed Hawk,14051
Short-tailed Shearwater,8773
Siberian Accentor,158
Siberian Blue Robin,2
Siberian Crane,1
Siberian Rubythroat,103
Siberian Stonechat,27
Silver-beaked Tanager,21
Silver Pheasant,4
Sinaloa Wren,1301
Slate-throated Redstart,770
Slaty-backed Gull,4424
Slaty-backed x Glaucous-winged Gull (hybrid),10
Slaty-backed x Glaucous Gull (hybrid),1
Smew,119
Smith's Longspur,4297
Smooth-billed Ani,1536
Snail Kite,14962
Snow Bunting,99796
Snow Goose,303580
Snow Goose x Brant (hybrid),48
Snow x Cackling Goose (hybrid),402
Snow x Canada Goose (hybrid),775
Snow x Greater White-fronted Goose (hybrid),72
Snow x McKay's Bunting (hybrid),11
Snow x Ross's Goose (hybrid),1009
Snow/Ross's x Cackling/Canada Goose (hybrid),85
Snowy-crowned Robin-Chat,1
Snowy Egret,1268810
Snowy Egret x Little Blue Heron (hybrid),35
Snowy Egret x Tricolored Heron (hybrid),332
Snowy Owl,79636
Snowy Plover,65512
Sociable Weaver,1
Solitary Sandpiper,272781
Solitary Snipe,13
Song Sparrow,5333138
Sooty Grouse,13195
Sooty Shearwater,88657
Sooty Tern,7181
Sora,261733
South African Shelduck,11
South Polar Skua,8031
Southern Black-Flycatcher,1
Southern Brown Kiwi,2
Sparkling Violetear,1
Spectacled Eider,2691
Spot-breasted Oriole,4796
Spotted Dove,33739
Spotted Redshank,708
Spotted Sandpiper,832113
Spotted Thick-knee,1
Spotted Towhee,1163368
Spotted x Barred Owl (hybrid),14
Spotted x Eastern Towhee (hybrid),360
Sprague's Pipit,9987
Spruce Grouse,6901
Star Finch,1
Stejneger's Petrel,5
Steller's Eider,3504
Steller's Jay,711410
Steller's Jay x Woodhouse's Scrub-Jay (hybrid,127
Steller's Sea-Eagle,3
Steller's x Blue Jay (hybrid),1
Stilt Sandpiper,97171
Stone Partridge,1
Streak-backed Oriole,993
Streaked Shearwater,1
Striped Sparrow,196
Stygian Owl,2
Sudan Golden Sparrow,1
Sulawesi Ground-Dove,1
Sulphur-bellied Flycatcher,9607
Sulphur-crested Cockatoo,20
Summer Tanager,386887
Summer x Western Tanager (hybrid),9
Sunbittern,1
Surf Scoter,350102
Surf x White-winged Scoter (hybrid),2
Surfbird,35055
Sutton's Warbler (hybrid),15
Swainson's Hawk,223612
Swainson's Thrush,496333
Swainson's Warbler,21027
Swallow-tailed Gull,458
Swallow-tailed Kite,68144
Swamp Sparrow,798241
Swan Goose,345
Swan Goose (Domestic type),14552
Swan Goose (Domestic type) x Canada Goose (hy,298
Swinhoe's Pheasant,1
Swinhoe's Storm-Petrel,9
Tahiti Petrel,11
Taiga Bean-Goose,5
Taiga Flycatcher,78
Tamaulipas Crow,626
Tanimbar Corella,27
Temminck's Stint,49
Tennessee Warbler,269443
Terek Sandpiper,244
Thick-billed Kingbird,5313
Thick-billed Murre,11475
Thick-billed Vireo,273
Thick-billed Warbler,37
Toco Toucan,1
Townsend's Solitaire,143830
Townsend's Storm-Petrel,907
Townsend's Warbler,233005
Townsend's x Black-throated Green Warbler (hy,16
Townsend's x Hermit Warbler (hybrid),617
Tree Pipit,25
Tree Swallow,2289939
Tree x Barn Swallow (hybrid),1
Tree x Violet-green Swallow (hybrid),1
Tricolored Blackbird,31324
Tricolored Heron,451363
Tricolored Munia,15
Trindade Petrel,302
Tristram's Storm-Petrel,33
Tropical Kingbird,36515
Tropical Mockingbird,152
Tropical Parula,3570
Tropical x Gray Kingbird (hybrid),24
Tropical x Northern Mockingbird (hybrid),58
Trumpeter Swan,180956
Trumpeter x Tundra Swan (hybrid),20
Trumpeter x Whooper Swan (hybrid),56
Tufted Duck,7257
Tufted Duck x Greater Scaup (hybrid),2
Tufted Duck x Lesser Scaup (hybrid),5
Tufted Duck x scaup sp. (hybrid),39
Tufted Flycatcher,1637
Tufted Puffin,21818
Tufted Titmouse,3701768
Tufted x Black-crested Titmouse (hybrid),19582
Tundra Bean-Goose,706
Tundra Swan,192482
Turkey Vulture,4403486
Turquoise-fronted Parrot,138
Turquoise Tanager,1
Upland Sandpiper,51508
Variable Hawk,2
Varied Bunting,14378
Varied Thrush,153188
Varied x Painted Bunting (hybrid),51
Variegated Flycatcher,376
Vaux's Swift,87479
Veery,307650
Venezuelan Troupial,13
Verdin,295208
Vermilion Flycatcher,169544
Vesper Sparrow,252033
Village Indigobird,8
Village Weaver,10
Violet-backed Starling,1
Violet-crowned Hummingbird,9679
Violet-green Swallow,466175
Violet-green x Cliff Swallow (hybrid),1
Virginia's Warbler,30274
Virginia Rail,186035
Wallace's Fairywren,1
Wandering Tattler,35337
Warbling Vireo,821362
Warbling x Red-eyed Vireo (hybrid),1
Wattled Crane,1
Wedge-rumped Storm-Petrel,80
Wedge-tailed Shearwater,6273
West Indian Whistling-Duck,2
West Indian Woodpecker,1
Western Bluebird,464275
Western Grebe,361634
Western Gull,522108
Western Kingbird,455106
Western Kingbird x Scissor-tailed Flycatcher ,100
Western Meadowlark,708355
Western Red-billed Hornbill,1
Western Sandpiper,270834
Western Screech-Owl,37298
Western Spindalis,884
Western Tanager,349757
Western Wood-Pewee,352339
Western x Clark's Grebe (hybrid),587
Western x Eastern Kingbird (hybrid),6
Western x Eastern Meadowlark (hybrid),3
Western x Eastern Screech-Owl (hybrid),1
Western x Eastern Wood-Pewee (hybrid),6
Western x Flame-colored Tanager (hybrid),37
Western x Glaucous-winged Gull (hybrid),80391
Western x Mountain Bluebird (hybrid),4
Whimbrel,160464
Whiskered Auklet,305
Whiskered Screech-Owl,5203
Whiskered Tern,506
White-breasted Guineafowl,1
White-breasted Nuthatch,3530857
White-cheeked Pintail,526
White-chinned Petrel,29
White-crowned Parrot,1
White-crowned Pigeon,13026
White-crowned Sparrow,1768332
White-crowned x Golden-crowned Sparrow (hybri,208
White-crowned x Harris's Sparrow (hybrid),1
White-crowned x White-throated Sparrow (hybri,6
White-eared Bulbul,1
White-eared Hummingbird,968
White-eyed Parakeet,390
White-eyed Vireo,707942
White-faced Ibis,234638
White-faced Storm-Petrel,1129
White-faced Whistling-Duck,246
White-fronted Parrot,1197
White-headed Buffalo-Weaver,1
White-headed Woodpecker,35658
White-lined Tanager,1
White-naped Crane,1
White-necked Petrel,96
White-necked Raven,2
White-rumped Munia,1
White-rumped Sandpiper,63875
White-rumped Seedeater,3
White-rumped Shama,8778
White-tailed Eagle,277
White-tailed Hawk,31911
White-tailed Kite,163717
White-tailed Ptarmigan,3027
White-tailed Tropicbird,6667
White-throated Magpie-Jay,18
White-throated Needletail,5
White-throated Sparrow,2197093
White-throated Swift,142519
White-throated Thrush,465
White-tipped Dove,46896
White-winged Collared-Dove,2
White-winged Crossbill,23876
White-winged Dove,705015
White-winged Parakeet,1363
White-winged Scoter,195012
White-winged Tern,411
White-winged Widowbird,7
White-winged x Yellow-chevroned Parakeet (hyb,5
White Cockatoo,52
White Ibis,635427
White Tern,3735
White Wagtail,3448
White x Scarlet Ibis (hybrid),11
Whooper Swan,353
Whooping Crane,12953
Wild Turkey,742707
Wild Turkey (Domestic type),245
Willet,602929
Williamson's Sapsucker,28744
Willow Flycatcher,268766
Willow Ptarmigan,4922
Willow Warbler,84
Wilson's Phalarope,133862
Wilson's Plover,44604
Wilson's Snipe,389440
Wilson's Storm-Petrel,30236
Wilson's Warbler,518938
Winter Wren,254613
Wood Duck,1329556
Wood Duck x Hooded Merganser (hybrid),11
Wood Duck x Mallard (hybrid),104
Wood Sandpiper,1238
Wood Stork,202153
Wood Thrush,574608
Wood Warbler,60
Wood x Mandarin Duck (hybrid),1
Woodhouse's Scrub-Jay,181203
Worm-eating Warbler,104655
Wrentit,239719
Wrinkled Hornbill,1
Yellow-bellied Flycatcher,42576
Yellow-bellied Sapsucker,637143
Yellow-bellied x Red-breasted Sapsucker (hybr,10
Yellow-bellied x Red-naped Sapsucker (hybrid),72
Yellow-billed Cardinal,8410
Yellow-billed Cuckoo,398595
Yellow-billed Loon,6037
Yellow-billed Magpie,46989
Yellow-billed Stork,1
Yellow-breasted Chat,261437
Yellow-breasted Flycatcher,1
Yellow-browed Warbler,20
Yellow-chevroned Parakeet,12724
Yellow-collared Lovebird,145
Yellow-crested Cockatoo,1
Yellow-crowned Bishop,94
Yellow-crowned Night-Heron,184200
Yellow-crowned Parrot,113
Yellow-eyed Junco,33100
Yellow-faced Grassquit,273
Yellow-footed Gull,2773
Yellow-fronted Canary,9814
Yellow-fronted Parrot,2
Yellow-green Vireo,1258
Yellow-headed Blackbird,228583
Yellow-headed Parrot,3544
Yellow-legged Gull,1
Yellow-lored Parrot,2
Yellow-naped Parrot,9
Yellow-nosed Albatross,25
Yellow-rumped Warbler,3354723
Yellow-rumped x Black-throated Gray Warbler (,3
Yellow-rumped x Townsend's Warbler (hybrid),9
Yellow-rumped x Yellow-throated Warbler (hybr,2
Yellow-throated Vireo,319604
Yellow-throated Warbler,260357
Yellow-throated Woodland-Warbler,1
Yellow Canary,1
Yellow Chat,2
Yellow Grosbeak,23
Yellow Rail,2738
Yellow Warbler,1481962
Yellow x Prairie Warbler (hybrid),36
Zebra Dove,39712
Zebra Finch,68
Zebra Waxbill,7
Zenaida Dove,367
Zone-tailed Hawk,24720
